,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Upata,68,VE,1537584480,95,8.02,-62.41,73.66,4.5
1,Geraldton,20,CA,1537581600,93,49.72,-86.95,37.4,4.7
2,La Macarena,76,CO,1537584481,100,2.18,-73.79,70.69,1.81
3,Lipari,44,IT,1537584481,100,38.47,14.95,76.0,6.73
4,Bredasdorp,92,ZA,1537581600,76,-34.53,20.04,53.6,4.7
5,Petervasara,44,HU,1537584481,83,48.02,20.1,53.32,2.26
6,Hermanus,24,ZA,1537584482,93,-34.42,19.24,33.61,2.04
7,Aripuana,0,BR,1537584482,86,-9.17,-60.63,78.88,2.04
8,Jamestown,0,AU,1537584482,37,-33.21,138.6,73.75,8.97
9,Mataura,8,NZ,1537584483,71,-46.19,168.86,62.05,6.17
10,Rikitea,88,PF,1537584483,100,-23.12,-134.97,67.72,7.4
11,Miles City,1,US,1537581180,44,46.41,-105.84,64.94,3.36
12,Qaanaaq,88,GL,1537584484,100,77.48,-69.36,19.75,14.34
13,San Patricio,0,PY,1537584484,91,-26.98,-56.83,69.34,2.59
14,Busselton,0,AU,1537584484,96,-33.64,115.35,62.5,4.16
15,Morro Bay,1,US,1537581360,83,35.37,-120.85,73.94,12.75
16,Saskylakh,92,RU,1537584485,98,71.97,114.09,41.8,14.56
17,Narasannapeta,68,IN,1537584485,100,18.42,84.04,80.32,3.94
18,Kichera,0,RU,1537584485,75,55.93,110.1,44.5,3.15
19,Alexandria,1,US,1537582500,87,31.31,-92.44,78.08,3.36
20,Katsuura,75,JP,1537581600,94,33.93,134.5,73.4,5.82
21,Bluff,0,AU,1537584413,29,-23.58,149.07,79.87,10.54
22,Butaritari,0,KI,1537584486,100,3.07,172.79,85.54,7.74
23,Mar del Plata,88,AR,1537584215,93,-46.43,-67.52,40.54,13.78
24,Puerto Ayora,12,EC,1537584487,100,-0.74,-90.35,69.25,12.33
25,Terrace Bay,20,CA,1537584487,100,48.78,-87.1,49.09,13.89
26,Fortuna,0,ES,1537583400,94,38.18,-1.13,84.2,2.24
27,Atuona,100,PF,1537584488,100,-9.8,-139.03,76.27,4.27
28,Dikson,80,RU,1537584408,92,73.51,80.55,40.9,15.23
29,Tuatapere,12,NZ,1537584489,76,-46.13,167.69,57.64,13.89
30,Melfort,90,CA,1537581600,59,52.87,-104.61,37.4,4.7
31,Hasaki,75,JP,1537581600,83,35.73,140.83,73.4,6.93
